Handle,Title,Body HTML,Sort Order,Template Suffix,Published,Published Scope
69,69,,manual,,TRUE,web
automatic-watches,Automatic Watches,,manual,,TRUE,web
bogo-watches,BOGO WATCHES,,manual,,TRUE,web
watches,BUY 1 GET 1 FREE,,manual,,TRUE,web
grealy-collection,Grealy Collection,,manual,,TRUE,web
mens-watches,Men's Watches,,manual,,TRUE,web
new-watches,NEW WATCHES,,manual,,TRUE,web
poedagar-collection,Old Money Collection,,manual,,TRUE,web
poedagar-cart,Poedagar Cart,,manual,,TRUE,web
products,Products,,manual,,TRUE,web
quartz-watches,Quartz Watches,,manual,,TRUE,web
sport-watches,Sport Watches,,manual,,TRUE,web
test,TEST,,manual,,TRUE,web
watch-accessories,Watch Accessories,,manual,,TRUE,web
womens-watches,Women's Watches,,manual,,TRUE,web
